audience,example,person,final_summary,word_count,character_count,ground_truth,rouge,bleu,bleurt,ter
none,none,1,"The user investigated an event in the intelligence domain by analyzing multiple documents related to arms dealing, fraudulent schemes, and intercepted emails. They searched for information related to Nigeria, Kenya, Syria, Pakistan, Saudi Arabia, Venezuela, Yemen, Dubai, Gaza, Russia, Thailand, and Columbia. The user found evidence of proposed and realized arms deals and the involvement of Leonid Minsky, an international gun smuggler, in these deals. They also found intercepted emails discussing a coded account at the Central Bank of Nigeria containing $30,600,000.00 and a potential fraudulent scheme involving bank transfers, contract details, and approval processes. The user analyzed a surveillance report on Akram Basra, suspected to be associated with a top leader in the Karachi faction of Lashkar-e-Jhangvi. They also read about the deaths of Thabiti Otieno and Nahid Owiti, a married couple from Narok, who passed away on May 1, 2009, at Nairobi Hospital. The user found an intercepted US government telephone conversation discussing the safe arrival of Tanya's jewels, Nicolai, Nahid, Nairobi, and Dubai. They also read about North Korea's sales of missiles, missile parts, and other arms to countries like Iran, Syria, and Myanmar, which violate a U.N. resolution designed to punish North Korea for consistently violating UN-imposed sanctions over the past year. The user added notes about Kasem and Khouri in Gaza and Minsky and Nikolai in Russia. They also found an intercepted email from Mikhail Dombrovski to Dr. George discussing a transaction to take place at an upcoming meeting on April 15. The user searched for information related to sickness and infection and added notes about Jhon and Hombre exchanging birthday presents. Overall, the user's investigation revealed a complex network of arms dealing, fraudulent schemes, and illegal activities involving multiple countries and individuals.",288,1555,manual,0.12093023255813953,0.0,-0.8800928592681885,92.01388888888889
none,none,1,"The user investigated an event in the intelligence domain by analyzing multiple documents related to arms dealing, fraudulent schemes, and intercepted emails. They searched for information related to Nigeria, Kenya, Syria, Pakistan, Saudi Arabia, Venezuela, Yemen, Dubai, Gaza, Russia, Thailand, and Columbia. The user found evidence of proposed and realized arms deals and the involvement of Leonid Minsky, an international gun smuggler, in these deals. They also found intercepted emails discussing a coded account at the Central Bank of Nigeria containing $30,600,000.00 and a potential fraudulent scheme involving bank transfers, contract details, and approval processes. The user analyzed a surveillance report on Akram Basra, suspected to be associated with a top leader in the Karachi faction of Lashkar-e-Jhangvi. They also read about the deaths of Thabiti Otieno and Nahid Owiti, a married couple from Narok, who passed away on May 1, 2009, at Nairobi Hospital. The user found an intercepted US government telephone conversation discussing the safe arrival of Tanya's jewels, Nicolai, Nahid, Nairobi, and Dubai. They also read about North Korea's sales of missiles, missile parts, and other arms to countries like Iran, Syria, and Myanmar, which violate a U.N. resolution designed to punish North Korea for consistently violating UN-imposed sanctions over the past year. The user added notes about Kasem and Khouri in Gaza and Minsky and Nikolai in Russia. They also found an intercepted email from Mikhail Dombrovski to Dr. George discussing a transaction to take place at an upcoming meeting on April 15. The user searched for information related to sickness and infection and added notes about Jhon and Hombre exchanging birthday presents. Overall, the user's investigation revealed a complex network of arms dealing, fraudulent schemes, and illegal activities involving multiple countries and individuals.",288,1555,baseline,0.0,0.0,0.0,0.0
none,none,1,"The user investigated an event in the intelligence domain by analyzing multiple documents related to arms dealing, fraudulent schemes, and intercepted emails. They searched for information related to Nigeria, Kenya, Syria, Pakistan, Saudi Arabia, Venezuela, Yemen, Dubai, Gaza, Russia, Thailand, and Columbia. The user found evidence of proposed and realized arms deals and the involvement of Leonid Minsky, an international gun smuggler, in these deals. They also found intercepted emails discussing a coded account at the Central Bank of Nigeria containing $30,600,000.00 and a potential fraudulent scheme involving bank transfers, contract details, and approval processes. The user analyzed a surveillance report on Akram Basra, suspected to be associated with a top leader in the Karachi faction of Lashkar-e-Jhangvi. They also read about the deaths of Thabiti Otieno and Nahid Owiti, a married couple from Narok, who passed away on May 1, 2009, at Nairobi Hospital. The user found an intercepted US government telephone conversation discussing the safe arrival of Tanya's jewels, Nicolai, Nahid, Nairobi, and Dubai. They also read about North Korea's sales of missiles, missile parts, and other arms to countries like Iran, Syria, and Myanmar, which violate a U.N. resolution designed to punish North Korea for consistently violating UN-imposed sanctions over the past year. The user added notes about Kasem and Khouri in Gaza and Minsky and Nikolai in Russia. They also found an intercepted email from Mikhail Dombrovski to Dr. George discussing a transaction to take place at an upcoming meeting on April 15. The user searched for information related to sickness and infection and added notes about Jhon and Hombre exchanging birthday presents. Overall, the user's investigation revealed a complex network of arms dealing, fraudulent schemes, and illegal activities involving multiple countries and individuals.",288,1555,additional,0.0,0.0,0.0,0.0
none,manual_example,1,"This user conducted an investigation into events related to arms dealing, fraudulent schemes, and intercepted emails. They searched for information related to several countries, including Nigeria, Yemen, Kenya, Syria, Pakistan, Saudi Arabia, Venezuela, Dubai, and Columbia. The user analyzed intercepted emails, surveillance reports, and US government telephone intercepts to collect evidence of proposed and realized arms deals and the involvement of individuals in these deals. They also read documents related to fraudulent schemes involving bank transfers, contract details, and approval processes. The user highlighted several characters of interest, including Leonid Minsky, Nicolai, Saleh Ahmed, Borodinski, and Baltasar. They spent more time understanding the behaviors of Saleh Ahmed and realized that their close ally, Baltasar, was using the code name ""Professor."" The user also noted the April 19th reunion in Dubai and the transaction to take place at an upcoming meeting on April 15. They returned to Sickness in the final segment but did not make any clear conclusions from their analysis. Overall, the user conducted a thorough investigation into the events related to arms dealing and fraudulent schemes, highlighting key characters and events that could be relevant to the investigation.",190,1077,manual,0.34782608695652173,0.19954864805255906,-0.2958622872829437,80.0
none,manual_example,1,"This user conducted an investigation into events related to arms dealing, fraudulent schemes, and intercepted emails. They searched for information related to several countries, including Nigeria, Yemen, Kenya, Syria, Pakistan, Saudi Arabia, Venezuela, Dubai, and Columbia. The user analyzed intercepted emails, surveillance reports, and US government telephone intercepts to collect evidence of proposed and realized arms deals and the involvement of individuals in these deals. They also read documents related to fraudulent schemes involving bank transfers, contract details, and approval processes. The user highlighted several characters of interest, including Leonid Minsky, Nicolai, Saleh Ahmed, Borodinski, and Baltasar. They spent more time understanding the behaviors of Saleh Ahmed and realized that their close ally, Baltasar, was using the code name ""Professor."" The user also noted the April 19th reunion in Dubai and the transaction to take place at an upcoming meeting on April 15. They returned to Sickness in the final segment but did not make any clear conclusions from their analysis. Overall, the user conducted a thorough investigation into the events related to arms dealing and fraudulent schemes, highlighting key characters and events that could be relevant to the investigation.",190,1077,baseline,0.36475409836065575,0.26966259725846703,-0.2656075358390808,114.73684210526316
none,manual_example,1,"This user conducted an investigation into events related to arms dealing, fraudulent schemes, and intercepted emails. They searched for information related to several countries, including Nigeria, Yemen, Kenya, Syria, Pakistan, Saudi Arabia, Venezuela, Dubai, and Columbia. The user analyzed intercepted emails, surveillance reports, and US government telephone intercepts to collect evidence of proposed and realized arms deals and the involvement of individuals in these deals. They also read documents related to fraudulent schemes involving bank transfers, contract details, and approval processes. The user highlighted several characters of interest, including Leonid Minsky, Nicolai, Saleh Ahmed, Borodinski, and Baltasar. They spent more time understanding the behaviors of Saleh Ahmed and realized that their close ally, Baltasar, was using the code name ""Professor."" The user also noted the April 19th reunion in Dubai and the transaction to take place at an upcoming meeting on April 15. They returned to Sickness in the final segment but did not make any clear conclusions from their analysis. Overall, the user conducted a thorough investigation into the events related to arms dealing and fraudulent schemes, highlighting key characters and events that could be relevant to the investigation.",190,1077,additional,0.3689320388349515,0.33921004165166924,-0.10275398939847946,82.10526315789474
none,masked_manual_example,1,"This user focused on activities related to arms dealing, money laundering, and fraud. They searched for documents related to Nigeria, Leonid Minsky, and arms deals. They collected evidence of proposed and realized arms deals and the involvement of Minsky in these deals. The user also read documents related to a potential fraudulent scheme involving a contract payment owed to Dr. George Ngoki's company for engineering and construction services for waterways and byways in Nigeria. They searched for information related to Kenya, Lebanon, Saudi Arabia, and Venezuela. The user analyzed intercepted emails, surveillance reports, and US government telephone intercepts related to arms dealing, money laundering, and fraud. They also read documents related to North Korea's sales of missiles, missile parts, and other arms to countries like Iran, Syria, and Myanmar, which violate a U.N. resolution designed to punish North Korea for consistently violating UN-imposed sanctions over the past year. The user searched for evidence of sickness and infection and read documents related to their previous understanding of the investigation. Throughout the interaction, the user made connections between different characters and events, such as the potential involvement of Nicolai in arms dealing and the reunion celebration at the Burj Al Arab hotel in Dubai. They also noted the deaths of Thabiti Otieno and Nahid Owiti and the seizure of an Ilyushin IL-76 aircraft carrying 35 tons of weapons from North Korea during a refueling stop in Bangkok. The user added notes about Jhon and Hombre exchanging birthday presents and Baltasar being in Turkey, aka the professor. Overall, the user used a breadth-based approach to reading documents and analyzing information, making connections between different events and characters to gain a better understanding of the investigation.",282,1545,manual,0.16190476190476188,0.032876090826713944,-0.6902558207511902,90.42553191489363
none,masked_manual_example,1,"This user focused on activities related to arms dealing, money laundering, and fraud. They searched for documents related to Nigeria, Leonid Minsky, and arms deals. They collected evidence of proposed and realized arms deals and the involvement of Minsky in these deals. The user also read documents related to a potential fraudulent scheme involving a contract payment owed to Dr. George Ngoki's company for engineering and construction services for waterways and byways in Nigeria. They searched for information related to Kenya, Lebanon, Saudi Arabia, and Venezuela. The user analyzed intercepted emails, surveillance reports, and US government telephone intercepts related to arms dealing, money laundering, and fraud. They also read documents related to North Korea's sales of missiles, missile parts, and other arms to countries like Iran, Syria, and Myanmar, which violate a U.N. resolution designed to punish North Korea for consistently violating UN-imposed sanctions over the past year. The user searched for evidence of sickness and infection and read documents related to their previous understanding of the investigation. Throughout the interaction, the user made connections between different characters and events, such as the potential involvement of Nicolai in arms dealing and the reunion celebration at the Burj Al Arab hotel in Dubai. They also noted the deaths of Thabiti Otieno and Nahid Owiti and the seizure of an Ilyushin IL-76 aircraft carrying 35 tons of weapons from North Korea during a refueling stop in Bangkok. The user added notes about Jhon and Hombre exchanging birthday presents and Baltasar being in Turkey, aka the professor. Overall, the user used a breadth-based approach to reading documents and analyzing information, making connections between different events and characters to gain a better understanding of the investigation.",282,1545,baseline,0.39590443686006827,0.37639686278021783,-0.20376931130886078,89.36170212765957
none,masked_manual_example,1,"This user focused on activities related to arms dealing, money laundering, and fraud. They searched for documents related to Nigeria, Leonid Minsky, and arms deals. They collected evidence of proposed and realized arms deals and the involvement of Minsky in these deals. The user also read documents related to a potential fraudulent scheme involving a contract payment owed to Dr. George Ngoki's company for engineering and construction services for waterways and byways in Nigeria. They searched for information related to Kenya, Lebanon, Saudi Arabia, and Venezuela. The user analyzed intercepted emails, surveillance reports, and US government telephone intercepts related to arms dealing, money laundering, and fraud. They also read documents related to North Korea's sales of missiles, missile parts, and other arms to countries like Iran, Syria, and Myanmar, which violate a U.N. resolution designed to punish North Korea for consistently violating UN-imposed sanctions over the past year. The user searched for evidence of sickness and infection and read documents related to their previous understanding of the investigation. Throughout the interaction, the user made connections between different characters and events, such as the potential involvement of Nicolai in arms dealing and the reunion celebration at the Burj Al Arab hotel in Dubai. They also noted the deaths of Thabiti Otieno and Nahid Owiti and the seizure of an Ilyushin IL-76 aircraft carrying 35 tons of weapons from North Korea during a refueling stop in Bangkok. The user added notes about Jhon and Hombre exchanging birthday presents and Baltasar being in Turkey, aka the professor. Overall, the user used a breadth-based approach to reading documents and analyzing information, making connections between different events and characters to gain a better understanding of the investigation.",282,1545,additional,0.33725490196078434,0.29343928745122994,-0.22472605109214783,81.20567375886525
none,masked_template,1,"They focused on several main topics in this analysis session, exploring 100% of the documents. The topics that received the most attention were arms dealing, money laundering, and fraud. They started searching for documents related to arms dealing and highlighted Nigeria in February 2009. They read and analyzed documents related to illegal arms deals, Ministry Police, witness testimony, conviction, and war crimes. They also read and analyzed documents related to Leonid Minsky, an international gun smuggler, who was part of an international criminal organization involved in diamond smuggling, arms deals, money laundering, and prostitution. The user collected evidence of proposed and realized arms deals and the involvement of Minsky in these deals.The user then read documents related to a potential fraudulent scheme involving a contract payment owed to Dr. George Ngoki's company for engineering and construction services for waterways and byways in Nigeria. They also read an intercepted email discussing a coded account at the Central Bank of Nigeria containing $30,600,000.00, suggesting fraud, contract payment, Nigeria, business dealings, and money transfer.The user continued to analyze documents related to arms dealing, money laundering, and fraud. They read documents related to Tanya's jewels, Nairobi, Dubai, Nicolai, and Nahid. They also read a document about North Korea's sales of missiles, missile parts, and other arms to countries like Iran, Syria, and Myanmar, which violate a U.N. resolution.The user opened and analyzed several documents related to arms dealing, money laundering, and fraud. They read documents related to the delivery of textbooks in Dubai, a reunion celebration at the Burj Al Arab hotel in Dubai, and farming equipment going to Sana'a. They also read a surveillance report from the Israeli Defense Forces Military Intelligence Directorate, provided to the CIA, containing a telephone conversation between Muhammad Kasem and Abdullah Khouri, discussing a meeting in April where they plan to exchange cash for supplies.The user connected documents related to illegal arms smuggling, North Korea, and the Ilyushin aircraft. They added a note about Baltasar in Turkey, aka the professor. They also read an intercepted email from Mikhail Dombrovski to Dr. George discussing a transaction to take place at an upcoming meeting on April 15.They conducted 10 searches throughout their session, focusing on Nigeria, Iran, Kenya, Syria, Pakistan, Saudi Arabia, Lebanon, and Columbia.",375,2050,manual,0.12692307692307692,0.006355973245644093,-0.9621022343635559,92.63157894736842
